legacy_item_id,slug,product_code,name,description,category_slug,subcategory,size_display,thickness_in,width_in,material_raw,price,seo_title,seo_description,image_url,legacy_views,status,legacy_post_slug
1534,backband-moulding-builder-casing-bac4697,BAC-4697,Builder Casing Backband Trim Moulding 4697 York Region,"This colonial design backband mounts to the outside edge of 5/8″ builder casing and ads width and depth to the casing. It is rabetted to accomodate any 5/8″ thick casing and is great for when people upgrade to a thicker base, but not yet ready to change out the trim. This added backband to the trim will accommodate a thicker base and the shoe can but into the backband as well for a better fit and finish look.",trim-mouldings,Backband,5/8 x 1-5/16,0.625,1.3125,Raw FJ Pine,,"1-5/16"" Backband Mould 4697",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAC-4697-3D-backband-for-builder-casing.jpg,198,published,backband-moulding-builder-casing-bac4697
1535,bar-railing-bar301,BAR-301,3-5/8 Bar Rail,Classic pub style bar rail used as the outside edge of the bar,trim-mouldings,Railings,1-1/4 x 3-5/8,1.25,3.625,wood,,,,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAR-301-3d-bar-rail.jpg,247,published,
1536,bar-railing-bar501,BAR-501,5-1/4 Bar Rail 501,Classic pub style bar rail used as the outside edge of the bar,trim-mouldings,Railings,1-3/4 x 5-1/4,1.75,5.25,wood,,,,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAR-501-3D-large-bar-rail.jpg,97,archived,
1537,baseboard-plain-5-inch-bas5ar,BAS-5AR,Plain and Modern Profile eased edge Baseboard Wood and MDF Primed Bas-5AR,This 5-1/4″ plain contemporary design baseboard is simple and clean with no profile other than an eased top edge. Baseboard ties the wall and floor together offering a visual foundation. It protects the walls from bumps and cleaning. The baseboard should compliment the style of casing and should be thinner and wider than the casing. Shoe mould often accompanies the baseboard if the floor is uneven or there is gaps between the baseboard and the flooring.,trim-mouldings,Baseboard,5/8 x 5-1/4,0.625,5.25,wood,,"5-1/4"" Baseboard 5AR",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAS-5AR-3D-plain-baseboard.jpg,594,published,baseboard-plain-5-inch-bas5ar
1538,baseboard-regal-5-inch-bas5c9,BAS-5C9,"Poplar Regal Baseboard 5-1/4"" Bas-5C9",This 5-1/4″ regal baseboard offers another decorative option that compliments a classic design. Baseboard ties the wall and floor together offering a visual foundation. It protects the walls from bumps and cleaning. The baseboard should compliment the style of casing and should be thinner and wider than the casing. Shoe mould often accompanies the baseboard if the floor is uneven or there is gaps between the baseboard and the flooring.,trim-mouldings,Baseboard,5/8 x 5-1/4,0.625,5.25,wood,,"5-1/4"" Baseboard 5C9",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAS-5C9-3D-regal-baseboard.jpg,116,published,baseboard-regal-5-inch-bas5c9
1539,baseboard-ornamental-5-inch-bas5e9,BAS-5E9,"5-1/4"" Baseboard 5E9",This 5-1/4″ ornamental baseboard offers a decorative substitute to the classic colonial style baseboard. It ties the wall and floor together offering a visual foundation. It protects the walls from bumps and cleaning. The baseboard should compliment the style of casing and should be thinner and wider than the casing. Shoe mould often accompanies the baseboard if the floor is uneven or there is gaps between the baseboard and the flooring.,trim-mouldings,Baseboard,5/8 x 5-1/4,0.625,5.25,wood,,,,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAS-5E9-3D-ornamental-baseboard.jpg,118,published,
1540,baseboard-modern-transitional-5-inch-bas5m7,BAS-5M7,Step Bevel Baseboard Wood & MDF Primed 5M7 5-1/4 York Region Toronto,"This modern transitional baseboard offers clean lines and is versatile for classic, contemporary, and transitional design styles. Some people call this profile a step bevel base. Hardwood and softwood species come in 5-1/4 height and MDF is 5-1/2 inch high. Baseboard ties the wall and floor together offering a visual foundation. It protects the walls from bumps and cleaning. The baseboard should compliment the style of casing and should be thinner and wider than the casing. Shoe mould often accompanies the baseboard if the floor is uneven or there is gaps between the baseboard and the flooring.",trim-mouldings,Baseboard,5/8 x 5-1/4 (5-1/2 MDF),0.625,5.25,wood & MDF,,5M7 BASE 5-1/4,baseboard-modern-transitional-5-inch-bas5m7,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAS-5M7-3D-modern-transitional-baseboard.jpg,575,published,baseboard-modern-transitional-5-inch-bas5m7
1541,baseboard-ogee-5-inch-bas5y0,BAS-5Y0,Ogee Baseboard 5-1/4 bas-5Y0 York Region,"The ogee profile Baseboard combines timeless elegance with refined architectural detail, making it a popular choice for traditional, transitional, and classic interiors. The graceful S-shaped ogee curve adds depth, character, and visual interest while creating a polished transition between the wall and floor. Its versatile styling complements a wide range of trim and moulding profiles, helping to create a cohesive, upscale look throughout the home. Beyond its decorative appeal, a quality ogee baseboard helps protect walls from scuffs and everyday wear while enhancing the overall value and appearance of your space. The 5-1/4 and 7-1/4 Versions are available in both primed MDF and Primed FJ Poplar 16' lengths.",trim-mouldings,Baseboard,11/16 X 5-1/4,0.6875,5.25,wood,,"5-1/4"" Baseboard 5Y0",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAS-5Y0-3D-ogee-baseboard.jpg,269,published,baseboard-ogee-5-inch-bas5y0
1542,baseboard-regal-7-inch-bas7a1,BAS-7A1,"7-1/4"" Regal Poplar Baseboard 7A1",This large 7-1/4″ regal baseboard offers another decorative option that compliments a classic design. Baseboard ties the wall and floor together offering a visual foundation. It protects the walls from bumps and cleaning. The baseboard should compliment the style of casing and should be thinner and wider than the casing. Shoe mould often accompanies the baseboard if the floor is uneven or there is gaps between the baseboard and the flooring.,trim-mouldings,Baseboard,11/16 x 7-1/4,0.6875,7.25,wood,,"7-1/4"" Baseboard 7A1",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAS-7A1-3D.jpg,99,published,baseboard-regal-7-inch-bas7a1
1543,baseboard-modern-transitional-7-inch-bas7a7,BAS-7A7,"Step Bevel Baseboard Wood and MDF BAS-7A7 7-1/4""","This modern transitional baseboard offers clean lines and is versatile for classic, contemporary, and transitional designs. Other names for this baseboard include Step-bevel base, and contemporary base. Hardwood, softwood and MDF species are 7-1/4 inches tall. Baseboard ties the wall and floor together offering a visual foundation. It protects the walls from bumps and cleaning. The baseboard should compliment the style of casing and should be thinner and wider than the casing. Shoe mould often accompanies the baseboard if the floor is uneven or there is gaps between the baseboard and the flooring.",trim-mouldings,Baseboard,11/16 x 7-1/4,0.6875,7.25,wood & MDF,,BAS-7A7 7-1/4,,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAS-7A7-3D.jpg,1492,published,baseboard-modern-transitional-7-inch-bas7a7
1544,baseboard-ogee-7-inch-bas7k2,BAS-7K2,"Classic Ogee Profile Baseboard 7-1/4"" Bas-7K2 GTA",This 7-1/4″ ogee style baseboard can be used in both modern and classic designs and is available in both Primed MDF and FJ Primed Poplar 16' lengths. Baseboard ties the wall and floor together offering a visual foundation. It protects the walls from bumps and cleaning. The baseboard should compliment the style of casing and should be thinner and wider than the casing. Shoe mould often accompanies the baseboard if the floor is uneven or there is gaps between the baseboard and the flooring.,trim-mouldings,Baseboard,11/16 x 7-1/4,0.6875,7.25,wood,,"7-1/4"" Baseboard 7K2",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAS-7K2-3D.jpg,196,published,baseboard-ogee-7-inch-bas7k2
1545,baseboard-modern-7-inch-bas7k3,BAS-7K3,"Extra Step Bevel Base Trim Poplar 7-1/4"" Baseboard 7K3",A large 7-1/4″ modern transitional baseboard offers clean lines for a contemporary and linear design. Baseboard ties the wall and floor together offering a visual foundation. It protects the walls from bumps and cleaning. The baseboard should compliment the style of casing and should be thinner and wider than the casing. Shoe mould often accompanies the baseboard if the floor is uneven or there is gaps between the baseboard and the flooring.,trim-mouldings,Baseboard,11/16 x 7-1/4,0.6875,7.25,wood,,"7-1/4"" Baseboard 7K3",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAS-7K3-3D.jpg,157,published,baseboard-modern-7-inch-bas7k3
1546,baseboard-plain-7-inch-bas7t2,BAS-7T2,"Plain Primed FJ Poplar and MDF Baseboard 7-1/4"" Bas-7T2 Greater Toronto Area and Muskoka",This large 7-1/4″ plain contemporary design baseboard offers a simple and clean design with an eased top edge and no profile. Baseboard ties the wall and floor together offering a visual foundation. It protects the walls from bumps and cleaning. The baseboard should compliment the style of casing and should be thinner and wider than the casing. Shoe mould often accompanies the baseboard if the floor is uneven or there is gaps between the baseboard and the flooring.,trim-mouldings,Baseboard,11/17 x 7-1/4,0.6471,7.25,wood,,"7-1/4"" Baseboard 7T2",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAS-7T2-3D.jpg,508,published,baseboard-plain-7-inch-bas7t2
1547,basecap-moulding-bas100,BAS-100,Poplar Base Cap Moulding 100 York Region,"This classic profile of base cap moulding is used on top of dimensional baseboard to give a plain baseboard a more finished, and decorative look. It is also used in a wide variety of cabinet making and trimwork projects. Its often used as a large inset panel moulding on wainscotting panelled walls.",trim-mouldings,Base Cap,3/4 x 1-1/2,0.75,1.5,wood,,"1-1/2"" Base Cap 100",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAS-100-3D.jpg,428,published,basecap-moulding-bas100__trashed
1549,baseboard-colonial-3-inch-bas300,BAS-300,"Thin Colonial Baseboard Poplar 3-1/4"" Bas-300",This is a 3-1/4″ small colonial style baseboard. Baseboard ties the wall and floor together offering a visual foundation. It protects the walls from bumps and cleaning. The baseboard should compliment the style of casing and should be thinner and wider than the casing. Shoe mould often accompanies the baseboard if the floor is uneven or there is gaps between the baseboard and the flooring.,trim-mouldings,Baseboard,5/16 X 3-1/4,0.3125,3.25,wood,,"3-1/4"" Baseboard 300",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAS-300-3D.jpg,442,published,baseboard-colonial-3-inch-bas300
1550,baseboard-thin-flat-plain-3-inch-bas301,BAS-301,"3-1/4"" Thin Flat bullnose Baseboard 301",This is a 3-1/4″ small thin flat baseboard. Baseboard ties the wall and floor together offering a visual foundation. It protects the walls from bumps and cleaning. The baseboard should compliment the style of casing and should be thinner and wider than the casing. Shoe mould often accompanies the baseboard if the floor is uneven or there is gaps between the baseboard and the flooring.,trim-mouldings,Baseboard,5/15 x 3-1/4,0.3333,3.25,wood,,"3-1/4"" Baseboard 301",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAS-301-3D.jpg,76,published,baseboard-thin-flat-plain-3-inch-bas301
1551,baseboard-two-step-3-inch-bas306,BAS-306,"3-1/2"" Baseboard 306",This is a 3-1/2″ 2-Step baseboard which is often used for other decorative purposes in millwork projects. Baseboard ties the wall and floor together offering a visual foundation. It protects the walls from bumps and cleaning. The baseboard should compliment the style of casing and should be thinner and wider than the casing. Shoe mould often accompanies the baseboard if the floor is uneven or there is gaps between the baseboard and the flooring.,trim-mouldings,Baseboard,5/8 X 3-1/2,0.625,3.5,wood,,,,https://www.royalwoodshop.com/wp-content/uploads/2014/08/BAS-306.jpg,104,published,
1552,baseboard-colonial-4-inch-bas400,BAS-400,"Classic 4-1/4"" tall Colonial Baseboard York Region Toronto","This is a classic colonial style baseboard available in primed FJ poplar 16' lengths, and solid unprimed poplar random lengths. Baseboard ties the wall and floor together offering a visual foundation. It protects the walls from bumps and cleaning. The baseboard should compliment the style of casing and should be thinner and wider than the casing. Shoe mould often accompanies the baseboard if the floor is uneven or there is gaps between the baseboard and the flooring.",trim-mouldings,Baseboard,5/8 X 4-1/4,0.625,4.25,wood,,"4-1/4"" Baseboard 400",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAS-400-3D.jpg,617,published,baseboard-colonial-4-inch-bas400
1553,baseboard-contemporary-4-inch-bas405,BAS-405,"4-1/4"" Baseboard 405","This 4-1/4″ modern transitional baseboard offers clean sharp lines and is versatile for classic, contemporary, and transitional designs. Baseboard ties the wall and floor together offering a visual foundation. It protects the walls from bumps and cleaning. The baseboard should compliment the style of casing and should be thinner and wider than the casing. Shoe mould often accompanies the baseboard if the floor is uneven or there is gaps between the baseboard and the flooring.",trim-mouldings,Baseboard,5/8 X 4-1/4,0.625,4.25,wood,,,,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAS-405-3D.jpg,816,published,
1554,baseboard-plain-flat-4-inch-bas411,BAS-411,"4"" Baseboard 411",This is a 4″ thin flat baseboard. Baseboard ties the wall and floor together offering a visual foundation. It protects the walls from bumps and cleaning. The baseboard should compliment the style of casing and should be thinner and wider than the casing. Shoe mould often accompanies the baseboard if the floor is uneven or there is gaps between the baseboard and the flooring.,trim-mouldings,Baseboard,"3/8 X 4""",0.375,4.0,wood,,,,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAS-411-3D.jpg,274,published,
1555,baseboard-2-step-4-inch-bas412,BAS-412,"Two Step Victorian Baseboard in Primed FJ Poplar 4-1/4"" Bas-412","This 2-Step baseboard is a versatile profile and size and often used many decorative purposes in millwork projects. Sometimes it is used as a base on kitchen island cabinetry, or inverted at the top of wall units under the crown. Sometimes even as a door and window casing. Baseboard ties the wall and floor together offering a visual foundation. It protects the walls from bumps and cleaning. The baseboard should compliment the style of casing and should be thinner and wider than the casing. Shoe mould often accompanies the baseboard if the floor is uneven or there is gaps between the baseboard and the flooring.",trim-mouldings,Baseboard,5/8 X 4-1/4,0.625,4.25,wood,,"4-1/4"" Baseboard 412",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAS-412-3D.jpg,409,published,baseboard-2-step-4-inch-bas412
1556,baseboard-colonial-5-inch-bas503,BAS-503,"Colonial Baseboard Poplar, MDF, Primed 5-1/2"" Bas-503 York Region",This colonial baseboard is a popular and a classic profile. Hardwood and softwood species come in 5-1/4 height and MDF is 5-1/2 inch high. Baseboard ties the wall and floor together offering a visual foundation. It protects the walls from bumps and cleaning. The baseboard should compliment the style of casing and should be thinner and wider than the casing. Shoe mould often accompanies the baseboard if the floor is uneven or there is gaps between the baseboard and the flooring.,trim-mouldings,Baseboard,5/8 x 5-1/4 (5-1/2 mdf),0.625,5.25,wood & MDF,,"5-1/2"" Baseboard 503",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAS-503-3D-colonial-baseboard.jpg,734,published,baseboard-colonial-5-inch-bas503
1557,baseboard-bevel-5-inch-bas508,BAS-508,"Plain Rounded Bevel 5-1/4"" Baseboard Poplar bas-508 Toronto York Region",This is a plain beveled baseboard with no sharp lines and available in stock in Poplar. Baseboard ties the wall and floor together offering a visual foundation. It protects the walls from bumps and cleaning. The baseboard should compliment the style of casing and should be thinner and wider than the casing. Shoe mould often accompanies the baseboard if the floor is uneven or there is gaps between the baseboard and the flooring.,trim-mouldings,Baseboard,5/8 x 5-1/4,0.625,5.25,wood,,"5-1/4"" Baseboard 508",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAS-508-3D.jpg,439,published,baseboard-bevel-5-inch-bas508
1558,baseboard-2-step-5-inch-bas509,BAS-509,"Two Step Tudor Victorian Baseboard Trim 5-1/4"" bas-509","This 2-Step baseboard is sometimes called a tudor base and available in Primed MDF and Poplar. The wood options are 5-1/4″ tall and the mdf is 5-1/2″ tall. Oak, Maple and Pine are special Order. Baseboard ties the wall and floor together offering a visual foundation. It protects the walls from bumps and cleaning. The baseboard should compliment the style of casing and should be thinner and wider than the casing. Shoe mould often accompanies the baseboard if the floor is uneven or there is gaps between the baseboard and the flooring.",trim-mouldings,Baseboard,5/8 x 5-1/4 (5-1/2 mdf),0.625,5.25,wood & MDF,,"5-1/4"" Baseboard 509",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAS-509-3D-two-step-baseboard.jpg,582,published,baseboard-2-step-5-inch-bas509
1559,baseboard-1867-5-inch-bas518,BAS-518,"Vintage 1867 Confederation Baseboard Poplar 5-1/4"" bas-518","This Vintage style 1867 Confederation baseboard is a common profile in older homes. Sometimes it is placed on top of a piece of dimensional to add height. There is a 7-1/4"" tall version in stock as well. Baseboard ties the wall and floor together offering a visual foundation. It protects the walls from bumps and cleaning. The baseboard should compliment the style of casing and should be thinner and wider than the casing. Shoe mould often accompanies the baseboard if the floor is uneven or there is gaps between the baseboard and the flooring.",trim-mouldings,Baseboard,5/8 x 5-1/4,0.625,5.25,wood,,"5-1/4"" Baseboard 518",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAS-518-3D-1867-baseboard.jpg,313,published,baseboard-1867-5-inch-bas518
1560,baseboard-builder-colonial-4-inch-bas0608,BAS-0608,"4-1/8"" Baseboard 0608",This is a standard builder colonial style baseboard. Baseboard ties the wall and floor together offering a visual foundation. It protects the walls from bumps and cleaning. The baseboard should compliment the style of casing and should be thinner and wider than the casing. Shoe mould often accompanies the baseboard if the floor is uneven or there is gaps between the baseboard and the flooring.,trim-mouldings,Baseboard,3/8 x 4-1/8,0.375,4.125,FJ-Pine,,,,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAS-0608-3D-builder-baseboard.jpg,251,published,
1561,baseboard-2-step-7-inch-bas701,BAS-701,"Victorian 2-Step Baseboard Poplar and MDF Primed York Region Toronto 7-1/4"" Bas-701",This 2-Step Victorian baseboard is sometimes called a tudor base. The wood and mdf options are 7-1/4″ tall. Baseboard ties the wall and floor together offering a visual foundation. It protects the walls from bumps and cleaning. The baseboard should compliment the style of casing and should be thinner and wider than the casing. Shoe mould often accompanies the baseboard if the floor is uneven or there is gaps between the baseboard and the flooring.,trim-mouldings,Baseboard,11/16 x 7-1/4,0.6875,7.25,wood & MDF,,"7-1/4"" Baseboard 701",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAS-701-3D.jpg,483,published,baseboard-2-step-7-inch-bas701
1562,baseboard-1867-7-inch-bas702,BAS-702,"1867 Heritage Baseboard Poplar 7-1/4"" Bas-702",This 1867 baseboard is sometimes called a Victorian base or old farmhouse style base. Baseboard ties the wall and floor together offering a visual foundation. It protects the walls from bumps and cleaning. The baseboard should compliment the style of casing and should be thinner and wider than the casing. Shoe mould often accompanies the baseboard if the floor is uneven or there is gaps between the baseboard and the flooring.,trim-mouldings,Baseboard,11/16 x 7-1/4,0.6875,7.25,wood,,"7-1/4"" Baseboard 702",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAS-702-3D.jpg,288,published,baseboard-1867-7-inch-bas702
1563,baseboard-colonial-7-inch-bas704,BAS-704,"Poplar MDF Colonial Baseboard 7-1/4"" Bas-704 York Region","This colonial baseboard offers a popular, classic profile. Hardwood, softwood species, and mdf are all 7-1/4 tall. Baseboard ties the wall and floor together offering a visual foundation. It protects the walls from bumps and cleaning. The baseboard should compliment the style of casing and should be thinner and wider than the casing. Shoe mould often accompanies the baseboard if the floor is uneven or there is gaps between the baseboard and the flooring.",trim-mouldings,Baseboard,11/16 x 7-1/4,0.6875,7.25,"wood 11/16 thick & MDF 1/2"" thick",,"7-1/4"" Baseboard 704",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAS-704-3D.jpg,285,published,baseboard-colonial-7-inch-bas704
1565,baseboard-sharp-bevel-7-inch-bas712,BAS-732,"Plain Bevel Baseboard Primed MDF, Poplar, 7-1/4"" Bas732",This is a sharp beveled baseboard that can be used for both contemporary and farmhouse design. Baseboard ties the wall and floor together offering a visual foundation. It protects the walls from bumps and cleaning. The baseboard should compliment the style of casing and should be thinner and wider than the casing. Shoe mould often accompanies the baseboard if the floor is uneven or there is gaps between the baseboard and the flooring.,trim-mouldings,Baseboard,11/16 x 7-1/4,0.6875,7.25,wood,,"7-1/4"" Baseboard 732",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAS-732-3D.jpg,626,published,baseboard-sharp-bevel-7-inch-bas712
1566,baseboard-ornamental-7-inch-bas773,BAS-773,7-1/4 Ornamental Poplar Baseboard bas-773,This 7-1/4″ ornamental baseboard offers a decorative substitute to the classic colonial style baseboard. It ties the wall and floor together offering a visual foundation. It protects the walls from bumps and cleaning. The baseboard should compliment the style of casing and should be thinner and wider than the casing. Shoe mould often accompanies the baseboard if the floor is uneven or there is gaps between the baseboard and the flooring.,trim-mouldings,Baseboard,13/16 x 7-1/4,0.8125,7.25,wood,,"7-1/4"" Baseboard 773",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAS-773-3D.jpg,183,published,baseboard-ornamental-7-inch-bas773
1567,baseboard-antique-7-inch-bas-785,BAS-785,"7-1/4"" Baseboard 785",This antique style baseboard is seen in many old farmhouses. Baseboard ties the wall and floor together offering a visual foundation. It protects the walls from bumps and cleaning. The baseboard should compliment the style of casing and should be thinner and wider than the casing. Shoe mould often accompanies the baseboard if the floor is uneven or there is gaps between the baseboard and the flooring.,trim-mouldings,Baseboard,3/4 x 7-1/4,0.75,7.25,wood,,,,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAS-785-3D-antique-baseboard.jpg,204,published,
1568,baseboard-provincial-8-inch-bas803,BAS-803,"Tall Heritage 8-1/2"" Baseboard Poplar Bas-803","Our tall Heritage Poplar baseboard makes a bold architectural statement, adding elegance, scale, and character to any room. Its classic profile and increased height create a premium, custom millwork appearance that is especially well-suited to traditional, transitional, and heritage-style homes. Crafted from quality poplar, it provides a smooth, durable surface that paints beautifully for a refined finish. Beyond its decorative appeal, a taller baseboard helps visually anchor the room, enhance ceiling height, and elevate the overall design of the space. Baseboard ties the wall and floor together offering a visual foundation. It protects the walls from bumps and cleaning. The baseboard should compliment the style of casing and should be thinner and wider than the casing. Shoe mould often accompanies the baseboard if the floor is uneven or there is gaps between the baseboard and the flooring.",trim-mouldings,Baseboard,3/4 x 8-1/2,0.75,8.5,wood,,"8-1/2"" Baseboard 803",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAS-803-3D.jpg,199,published,baseboard-provincial-8-inch-bas803
